a52dec 0.8.0-2
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alsa-lib 1.2.9-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
amd-ucode 20230804.7be2766d-2
aom 3.6.1-1
apparmor 3.1.6-2
appstream 0.16.2-1
arandr 0.1.11-2
arc-gtk-theme 20221218-1
arc-icon-theme 20161122-3
arch-install-scripts 28-1
archinstall 2.6.0-1
archlinux-appstream-data 20230715-1
archlinux-keyring 20230821-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
attica 5.109.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
b43-fwcutter 019-4
base 3-1
base-devel 1-1
bash 5.1.016-4
bat 0.23.0-3
bc 1.07.1-4
bind 9.18.18-1
binutils 2.41-3
bison 3.8.2-6
bluez 5.68-1
bluez-libs 5.68-1
bluez-utils 5.68-1
boost-libs 1.81.0-7
brave-bin 1:1.57.47-1
breeze 5.27.7-1
breeze-gtk 5.27.7-1
breeze-icons 5.109.0-1
brltty 6.6-2
broadcom-wl 6.30.223.271-495
brotli 1.0.9-12
btrfs-progs 6.3.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.92-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
calamares 3.2.62-1
candy-icons-git r982.a017160-1
cantarell-fonts 1:0.303.1-1
cbatticon 1.6.13-1
cdparanoia 10.2-8
cifs-utils 7.0-3
ckbcomp 1.221-1
clonezilla 3.35.2-5
cloud-init 23.2.2-1
cmake 3.27.1-1
conky 1.18.1-1
copyq 7.0.0-1
coreutils 9.3-1
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
cups 1:2.4.6-1
cups-filters 1.28.17-4
curl 8.2.1-1
darkhttpd 1.14-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-python 1.3.2-2
dconf 0.40.0-2
ddrescue 1.27-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.22-2
dhclient 4.4.3.P1-2
didyoumean 1.1.4-1
diffutils 3.10-1
ding-libs 0.6.2-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dmenu-distrotube 5.0.r256.d83ef15-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dmscripts-git 1.0.r510.b134b06-1
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
drbl 2.30.5-3
dtmacs 1.r263.e0e5db0-1
dtos-alacritty 1.r256.d83ef15-1
dtos-bash 1.r263.e0e5db0-1
dtos-cache 1.r256.d83ef15-1
dtos-calamares-settings 1.r260.682ebae-1
dtos-conky 1.r262.9cc4c78-1
dtos-dmscripts 1.r263.e0e5db0-1
dtos-fish 1.r263.e0e5db0-1
dtos-local-bin 1.r263.e0e5db0-1
dtos-qtile 1.r256.d83ef15-1
dtos-sddm-sugar-candy-git r53.2b72ef6-1
dtos-sounds 1.r4.b8537d1-1
dtos-sxiv 1.r256.d83ef15-1
dtos-xresources 1.r256.d83ef15-1
dtos-xwallpaper 1.r256.d83ef15-1
dtos-zsh 1.r263.e0e5db0-1
duktape 2.7.0-6
dunst 1.9.2-1
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
edk2-shell 202305-1
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
ell 0.57-1
emacs 29.1-4
enchant 2.5.0-1
espeak-ng 1.51.1-2
espeakup 0.90-2
ethtool 1:6.4-1
evince 44.3-1
exa 0.10.1-8
exfatprogs 1.2.1-1
expat 2.5.0-1
f2fs-tools 1.16.0-2
faad2 2.10.1-1
fakeroot 1.32.1-1
fatresize 1.1.0-1
ffmpeg 2:6.0-8
ffmpeg4.4 4.4.4-1
fftw 3.3.10-4
file 5.45-1
filesystem 2023.01.31-1
findutils 4.9.0-3
fish 3.6.1-1
flac 1.4.3-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fontconfig 2:2.14.2-1
foot-terminfo 1.15.3-1
frameworkintegration 5.109.0-1
freetype2 2.13.1-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.16.1-1
fuse2 2.9.9-4
fuse3 3.16.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.0-1
gettext 0.22-1
ghc-libs 9.0.2-3
ghostscript 10.01.2-1
giflib 5.2.1-2
git 2.41.0-2
glew 2.2.0-6
glib-networking 1:2.76.1-1
glib2 2.76.4-1
glibc 2.38-3
glibmm 2.66.6-1
glslang 12.3.1-2
glu 9.0.3-1
gmp 6.3.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnutls 3.8.1-1
gobject-introspection-runtime 1.76.1-3
gpart 0.3-4
gparted 1.5.0-1
gperftools 2.10-3
gpgme 1.21.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-3
grub 2:2.12rc1-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.2-1
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-plugins-bad-libs 1.22.5-1
